correlacionar_frio_calor,semilla,van_medio_usd,van_p10_usd,van_p50_usd,van_p90_usd,p_van_negativo,tir_media
False,42,1273870.7265355957,539400.8042612461,1295834.8823044694,1977604.2690210694,0.0172,0.10773257268929626
False,123,1284466.6634877357,560541.3010063656,1307785.3629765967,1978445.1443682336,0.0179,0.10792074003593331
False,2026,1284340.7730669056,538746.9882708186,1311510.064589513,1998750.7149161028,0.0184,0.10793204181985243
True,42,1268817.258187497,552351.8999810772,1283303.0889374963,1964856.1698167527,0.0144,0.10765536675066549
True,123,1275710.6045262467,551527.0863761867,1297385.2665972463,1964454.0670847977,0.0155,0.10775774732038391
True,2026,1277295.7410863142,544005.6276402434,1308047.188812431,1967939.2780290514,0.0166,0.10780354305951051
